attack,bit_acc
clean,0.6875
jpeg30,0.4375
jpeg50,0.4375
jpeg75,0.4375
noise0.05,0.4375
noise0.10,0.4375
blur3x3,0.4375
blur5x5,0.4375
resize0.5,0.4375
resize0.7,0.5000
bright+0.1,0.5000
contrast1.2,0.4375
crop2px,0.4375
crop4px,0.4375
cropresize0.8,0.5000
rotate5,0.5000
rotate15,0.5625
translate2px,0.3125
zoom1.1,0.5625
regen(t=400),0.7500
wrong-key,0.5000
stego_psnr,9.7547
stego_ssim,0.0566
stego_lpips,
