s_rec,clean_acc,jpeg50_acc
20,1.0000,1.0000
30,1.0000,1.0000
40,1.0000,1.0000
45,1.0000,1.0000
50,1.0000,1.0000
55,1.0000,1.0000
60,1.0000,1.0000
70,1.0000,1.0000
80,1.0000,1.0000
