attack,bit_acc
clean,0.8750
jpeg30,0.7578
jpeg50,0.7500
jpeg75,0.8125
noise0.05,0.7695
noise0.10,0.6836
blur3x3,0.8555
blur5x5,0.8516
resize0.5,0.8672
resize0.7,0.8164
bright+0.1,0.8555
contrast1.2,0.8203
crop2px,0.8633
crop4px,0.8633
cropresize0.8,0.4844
rotate5,0.6953
rotate15,0.5586
translate2px,0.5547
zoom1.1,0.6211
regen(t=400),0.6406
wrong-key,0.5430
stego_psnr,27.2464
stego_ssim,0.8395
stego_lpips,
