attack,bit_acc
clean,0.9297
jpeg30,0.7891
jpeg50,0.7891
jpeg75,0.7969
noise0.05,0.8203
noise0.10,0.7422
blur3x3,0.8906
blur5x5,0.9062
resize0.5,0.8906
resize0.7,0.8516
bright+0.1,0.9062
contrast1.2,0.8750
crop2px,0.9062
crop4px,0.9062
cropresize0.8,0.5078
rotate5,0.7109
rotate15,0.5234
translate2px,0.5156
zoom1.1,0.6328
regen(t=400),0.7266
wrong-key,0.4922
stego_psnr,27.7093
stego_ssim,0.8436
stego_lpips,
