attack,s_hide,s_rec,bit_acc
clean,10,25,0.7500
jpeg50,10,25,0.8281
clean,10,50,0.7812
jpeg50,10,50,0.7969
clean,50,25,1.0000
jpeg50,50,25,1.0000
clean,50,50,1.0000
jpeg50,50,50,1.0000
