attack,bit_acc
clean,0.9863
jpeg30,0.7969
jpeg50,0.8496
jpeg75,0.8965
noise0.05,0.8691
noise0.10,0.8184
blur3x3,0.9824
blur5x5,0.9766
resize0.5,0.9824
resize0.7,0.9609
bright+0.1,0.9707
contrast1.2,0.9766
crop2px,0.9863
crop4px,0.9863
cropresize0.8,0.5391
rotate5,0.6914
rotate15,0.4902
translate2px,0.4336
zoom1.1,0.7070
regen(t=400),0.7148
wrong-key,0.5059
stego_psnr,29.6955
stego_ssim,0.8826
stego_lpips,
