s_rec,clean_acc,jpeg50_acc
20,0.9896,0.8594
40,0.9948,0.8594
60,0.9948,0.8646
80,0.9948,0.8594
100,0.9948,0.8594
150,0.9948,0.8594
200,0.9948,0.8438
