strength,psnr,lpips,clean,jpeg50,noise0.05,blur3x3,crop2px,rotate5
0.5000,15.4853,,0.5156,0.6250,0.6875,0.5781,0.5156,0.6562
1.0000,10.3886,,1.0000,1.0000,1.0000,1.0000,1.0000,0.8438
