attack,bit_acc
clean,0.9844
jpeg30,1.0000
jpeg50,0.9844
jpeg75,0.9844
noise0.05,0.9844
noise0.10,0.9844
blur3x3,0.9688
blur5x5,0.9688
resize0.5,0.9375
resize0.7,0.9688
bright+0.1,0.9844
contrast1.2,0.9844
crop2px,0.9844
crop4px,0.9844
cropresize0.8,0.4688
rotate5,0.8438
rotate15,0.5312
translate2px,0.3594
zoom1.1,0.8281
regen(t=400),0.7969
wrong-key,0.5625
stego_psnr,11.3347
stego_ssim,0.1690
stego_lpips,
