attack,bit_acc
clean,0.9941
jpeg30,0.9922
jpeg50,0.9941
jpeg75,0.9980
noise0.05,0.9980
noise0.10,0.9922
blur3x3,0.9922
blur5x5,0.9844
resize0.5,0.9609
resize0.7,0.9922
bright+0.1,0.9941
contrast1.2,0.9980
crop2px,0.9941
crop4px,0.9941
cropresize0.8,0.4648
rotate5,0.8867
rotate15,0.4785
translate2px,0.3770
zoom1.1,0.8574
regen(t=400),0.8984
wrong-key,0.4902
stego_psnr,9.5469
stego_ssim,0.1094
stego_lpips,
