t_reg,regen_steps,attack_cost_psnr,ber
200,25,12.786,0.0332
400,25,9.569,0.1074
600,25,8.983,0.2793
800,25,7.812,0.4395
200,50,14.169,0.0254
400,50,10.063,0.0996
600,50,8.676,0.3164
800,50,8.327,0.4609
