strength,psnr,lpips,clean,jpeg50,noise0.05,blur3x3,crop2px,rotate5
0.5000,14.0214,,1.0000,0.9258,0.9727,0.9727,1.0000,0.8594
1.0000,9.6804,,1.0000,1.0000,1.0000,1.0000,1.0000,0.8594
1.5000,8.0246,,0.9961,1.0000,1.0000,1.0000,0.9961,0.8594
2.0000,7.6838,,0.9961,0.9961,1.0000,1.0000,0.9961,0.8555
