attack,bit_acc
clean,0.4824
jpeg30,0.4863
jpeg50,0.4883
jpeg75,0.4971
noise0.05,0.4863
noise0.10,0.4902
blur3x3,0.4932
blur5x5,0.4980
resize0.5,0.4961
resize0.7,0.4961
bright+0.1,0.4971
contrast1.2,0.4893
crop+2px,0.4941
regen(t=400),0.4834
wrong-key,0.4844
