metric,value
wrong_key_ber_mean,0.5017
wrong_key_ber_std,0.0210
wrong_key_ber_max,0.5645
true_key_acc,0.4883
far_tau4,0.000000
far_tau8,0.000000
far_tau12,0.000000
auc_no_nonce_N1,0.8248
auc_nonce_N1,0.8031
auc_no_nonce_N2,0.8673
auc_nonce_N2,0.7898
auc_no_nonce_N4,0.9179
auc_nonce_N4,0.7788
auc_no_nonce_N8,0.9510
auc_nonce_N8,0.7817
auc_no_nonce_N16,0.9682
auc_nonce_N16,0.7795
auc_no_nonce_N32,0.9712
auc_nonce_N32,0.7906
log2_key_space,1354.09
