s_rec,clean_acc,jpeg50_acc
20,1.0000,1.0000
30,1.0000,1.0000
40,1.0000,1.0000
45,1.0000,1.0000
50,0.9961,1.0000
55,0.9961,1.0000
60,0.9961,0.9980
70,0.9961,0.9980
80,1.0000,0.9980
