t_reg,regen_steps,cost_psnr_vs_cover,cost_psnr_vs_stego,lpips_vs_cover,ber
200,25,8.330,12.095,,0.0254
400,25,8.928,9.591,,0.1191
600,25,9.715,8.889,,0.3242
800,25,9.434,8.413,,0.4316
200,50,8.424,13.336,,0.0312
400,50,8.712,9.506,,0.1133
600,50,10.187,8.856,,0.2891
800,50,9.583,8.233,,0.4180
